SynId,NeuronType,NeuronId,SynType,UMAP_1,UMAP_2,Cluster,clusterid
26,calbindin,cb2,as,10.011124,4.4597683,2,as
27,calbindin,cb2,as,9.810971,4.6102505,2,as
28,calbindin,cb2,as,8.993675,4.635465,2,as
29,calbindin,cb2,as,9.876835,4.3988037,2,as
30,calbindin,cb2,as,11.32573,4.6129913,2,as
31,calbindin,cb2,as,12.115633,3.0120246,2,as
32,calbindin,cb2,as,12.143639,2.9486303,2,as
33,calbindin,cb2,as,12.159045,2.8624663,2,as
34,calbindin,cb2,as,11.674372,0.35971743,1,as
35,calbindin,cb2,as,11.772294,0.6019362,1,as
1,calbindin,cb3,as,9.517582,6.3075743,2,as
2,calbindin,cb3,as,7.053423,6.159071,2,as
3,calbindin,cb3,as,6.763998,5.391821,2,as
4,calbindin,cb3,as,7.0305505,8.05793,4,as
5,calbindin,cb3,as,7.2746854,9.831584,4,as
1,calretinin,cr1,as,12.842434,-0.009201877,1,as
2,calretinin,cr1,as,12.795298,0.08995527,1,as
3,calretinin,cr1,as,11.937815,1.6156791,-1,as
4,calretinin,cr1,as,11.853328,0.5724265,1,as
5,calretinin,cr1,as,8.8421335,4.1304493,2,as
6,calretinin,cr1,as,12.118188,3.0172148,2,as
7,calretinin,cr1,as,10.655981,3.8166742,2,as
8,calretinin,cr1,as,10.246934,4.0240355,2,as
9,calretinin,cr1,as,11.330233,4.822574,2,as
10,calretinin,cr1,as,11.26593,4.9400287,2,as
11,calretinin,cr1,as,11.189252,5.0290155,2,as
12,calretinin,cr1,as,11.102959,5.150517,2,as
13,calretinin,cr1,as,8.746811,5.2985873,2,as
14,calretinin,cr1,as,8.897026,6.102493,2,as
15,calretinin,cr1,as,8.925416,6.243907,2,as
16,calretinin,cr1,as,8.664204,8.952748,-1,as
17,calretinin,cr1,as,6.862777,6.129318,2,as
18,calretinin,cr1,as,8.478769,9.140984,-1,as
19,calretinin,cr1,as,7.124864,8.292224,4,as
20,calretinin,cr1,as,6.5909534,9.192944,4,as
21,calretinin,cr1,as,6.24981,9.310714,4,as
22,calretinin,cr1,as,5.3631516,8.137353,4,as
23,calretinin,cr1,as,6.118929,10.904008,4,as
24,calretinin,cr1,as,5.860278,11.135642,4,as
25,calretinin,cr1,as,5.779867,11.070392,4,as
26,calretinin,cr1,as,4.126082,9.790623,3,as
27,calretinin,cr1,as,3.0604134,10.456712,3,as
28,calretinin,cr1,as,2.5916982,10.144619,3,as
29,calretinin,cr1,as,1.6928304,9.941654,3,as
30,calretinin,cr1,as,1.8600864,10.029562,3,as
31,calretinin,cr1,as,1.2318912,9.061115,3,as
32,calretinin,cr1,as,0.49577495,9.915478,-1,as
33,calretinin,cr1,as,-0.18098427,9.775708,3,as
34,calretinin,cr1,as,-0.23657396,9.704071,3,as
1,calretinin,cr2,as,12.057405,2.7850368,2,as
2,calretinin,cr2,as,12.007035,2.7113814,2,as
3,calretinin,cr2,as,12.089167,2.8406951,2,as
4,calretinin,cr2,as,10.586451,3.93721,2,as
5,calretinin,cr2,as,11.161591,4.3369274,2,as
6,calretinin,cr2,as,9.261459,4.6197467,2,as
7,calretinin,cr2,as,9.109511,4.7153664,2,as
8,calretinin,cr2,as,9.936728,4.4509706,2,as
9,calretinin,cr2,as,7.8661995,4.5709524,2,as
10,calretinin,cr2,as,9.505266,4.627043,2,as
11,calretinin,cr2,as,9.962506,4.8304543,2,as
12,calretinin,cr2,as,11.315749,6.0909495,2,as
13,calretinin,cr2,as,11.255531,5.5131297,2,as
14,calretinin,cr2,as,7.461419,4.841991,2,as
15,calretinin,cr2,as,7.4110136,4.82411,2,as
16,calretinin,cr2,as,9.422748,6.006731,2,as
17,calretinin,cr2,as,11.288448,5.799959,2,as
